,Pid,Name,ShortDescription,Description,CategoryId,Category,ImageURL,Dudedeals Category (Dudedeals Classification),Price,PriceCurrency,SalePrice,FinalPrice,IsInStock,Keywords,Brand,Manufacturer,MPN,UPCorEAN,SKU,Color,Gender,Size,Condition,DeepLinkURL,LinkUrl
23794,185820.156074.2CC37263ACDC24EF.FEB8670AAA41906A.127591080,"adidas Men's Feel Cozy Pullover Hoodie Black, Medium - Men's Athletic Fleece at Academy Sports",,"The adidas Men's Feel Cozy Pullover Hoodie is made of recycled cotton material and has an adjustable 2-piece hood. adidas Men's Feel Cozy Pullover Hoodie Black, Medium - Men's Athletic Fleece at Academy Sports",203,Apparel & Accessories > Clothing > Outerwear,https://academy.scene7.com/is/image/academy/20743304?wid=800&hei=800,Clothing;Clothing/Hoodies & Sweatshirts;,50,,35,35,TRUE,,,Adidas,GV5294,194829196447,127591080,Black,,,New,https://www.academy.com/p/adidas-mens-feel-cozy-pullover-hoodie?sku=black-medium,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.FEB8670AAA41906A.127591080
69449,163572.156074.BE8E64811E10C72A.6D66A4C0FB5EEFEB.6933450,Deuter Lake Placid Backpack,,"Features of the Deuter Lake Placid Backpack Deuter contact back system Ergonomic, padded shoulder straps Detachable waist belt Lid pocket with key clip Padded laptop compartment (15in.) Tablet compartment Internal valuables pocket Two detachable zipper side pockets Separate, reinforced bottom compartment Cellphone pocket Adjustable, detachable sternum strap Detachable straps to attach yoga mat, triPod etc. Gear loops Drawcord closure on main compartment for extra security Durable fabric Fabric Details 330D polyamide ripstop",3937,Sporting Goods > Outdoor Recreation > Camping & Hiking > Camping Tools,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10549098x1250570_zm?$product1000$,"Camping, Backpacking & Hiking;Camping, Backpacking & Hiking/Camping Backpacks;",129.95,,96.99,96.99,TRUE,,,Deuter,381422274090,4046051125381,6933450,Black/Tin,unisex,One Size,New,https://www.moosejaw.com/product/deuter-lake-placid-backpack_10549098,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.6D66A4C0FB5EEFEB.6933450
87615,159802.156099.34B.6BBD8155DC791DC.2069776,"Hanes Men's Ultimate X-Temp Sport V-Neck Undershirts, 4-Pack",,"Hanes Ultimate Men's X-Temp Sport V-Neck Undershirt is made with soft and durable cotton for all day comfort. . . .  4-Pack.  X-Temp technology designed to adapt to your temperature so you start cool, keep cool..  FreshIQ advanced odor protection technology attacks the odor-causing bacteria in your clothing that causes your underwear and socks to smell-so you can feel fresh all day..  Cool Comfort wicking fabric keeps you cool for all day comfort..  Tag-free for itch-free comfort..  Fabric: 100% cotton.  Imported.  Machine wash.",166,Apparel & Accessories,https://res.cloudinary.com/eastern/image/upload/2069776_101_main.jpg,Clothing;Clothing/Underwear & Sleepwear;,36,,27,27,TRUE,,Hanes,Hanes,UXCVW4,,2069776,,,M,,,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.159802.156099.34B.6BBD8155DC791DC.2069776
88207,159802.156099.34B.E13BB67AD330304B.1312630,Petzl Tandem Cable Pulley,,"Designed for Tyrolean traverses on cable or rope, the Petzl Tandem Cable pulley is a double pulley with stainless steel sheaves. Stainless steel sheaves for excellent durability. Sheaves mounted on self-lubricating bushings for good efficiency. Maximum allowable speed: 10 m/s. Accepts up to three carabiners to facilitate use. Breaking strength: 24 kN. Working load: 10 kN. For use on cable (maximum diameter 12 mm) and on rope (maximum diameter 13 mm).",988,Sporting Goods,https://res.cloudinary.com/eastern/image/upload/1312630_915_main.jpg,Climbing;Climbing/Climbing Essentials;,79.95,,64.98,64.98,TRUE,,Petzl,Petzl,P21..1,,1312630,,,One Size,,,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.159802.156099.34B.E13BB67AD330304B.1312630
86006,160494.156074.C416615A9542B069.62F34602F030DD7F.888579377873,"5.11 Tactical Men's Alliance Pant (Battle Brown), Size 32/36",,"Fit, performance and looks work as one in our Alliance Pant, where slim fit meets a touch of vintage style. The Cavalry twill material is a modern mix tailored for comfort throughout the day. The fixed waistband pant includes hidden pockets to the rear for mags and phones. Traditional utility-style hand pockets with Traverse™ fabric reinforcement insets provide fast access up front. Double-reinforced belt loops maximize durability and button-flap closures on both back pockets ensure security for essentials. Final Sale, No Returns (32/36)",204,Apparel & Accessories > Clothing > Pants,https://www.511tactical.com/media/catalog/product/74528/116/74528_116_01.jpg,Clothing;Clothing/Pants & Bottoms;Clothing/Pants & Bottoms/Other Pants;,75,,29.99,29.99,TRUE,,,5.11 Tactical,74528-Battle Brown (116)-32,888579377873,888579377873,Battle Brown,male,32/36,New,https://www.511tactical.com/alliance-pant.html,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.160494.156074.C416615A9542B069.62F34602F030DD7F.888579377873
2098,168622.1.9610.8C0727BC9B3A894E.MUS-0219-1,Mustad 94840 4-20 Dry Fly Hook - 4,"Ever since hook production started in the 1870s, Mustad has manufactured an impressive number of different fish hook patterns for a vast array of fishing methods. Such a long history and experience has given us invaluable knowledge about what it takes to perfect a fish hook for a specific type of fishing as well as all round freshwater and saltwater fishing. Mustad has manufactured hooks since 1877, but now the company has made an effort to be able to offer all the tackle you need when you go fi","Ever since hook production started in the 1870s, Mustad has manufactured an impressive number of different fish hook patterns for a vast array of fishing methods. Such a long history and experience has given us invaluable knowledge about what it takes to perfect a fish hook for a specific type of fishing as well as all round freshwater and saltwater fishing. Mustad has manufactured hooks since 1877, but now the company has made an effort to be able to offer all the tackle you need when you go fishing. MUSTAD hooks are made from premium hi-carbon steel, which gives the hooks maximum strength. MUSTAD?s unique tempering process ensures even strength and high quality. Before being tempered the hooks are forged, which in this context means that the hook wire is a bit compressed. By doing this, the strength of the hook is increased by over 30%! The Mustad 94840 fly hook is the standard for dry fly fishing hooks. You will find the 94840 in a multitude of fly patterns. Turned down eye, bronzed finish.",3334,Sporting Goods > Outdoor Recreation > Fishing,https://i.tackledirect.com/images/imgfull/948401-mus-0219-1.jpg,Fishing;Fishing/Terminal Tackle;,6.49,USD,3.99,3.99,TRUE,,Mustad,Mustad,94840 4-20 4,23534400429,MUS-0219-1,,,,,https://www.tackledirect.com/musdryflyhoo.html?mainc=948401&subc=MUS-0219-1,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.168622.1.9610.8C0727BC9B3A894E.MUS-0219-1
11959,185857.156052.20C5.AF757B2101C0CFF6.4435268,"Nike Men's Air Jordan Adg 4 Golf Shoes in Black/Cement Grey/Metallic Silver, Size 11.5 Men's / 13 Womens",,"html-body [data-pb-style=JK4ROAN]{justify-content:flex-start;display:flex;flex-direction:column;background-position:left top;background-size:cover;background-repeat:no-repeat;background-attachment:scroll}A request from MJ himself, the new Nike Air Jordan ADG 4 Golf Shoes combine an incredibly classic silhouette with retro Jordan flavor. Supple, full-grain leather showcases the iconic elephant print on the heel while Nike React technology delivers a smooth responsive ride as you walk the course. On the sole, the shoe's integrated traction pattern perfectly pairs the grip required to execute high-level golf shots with the versatility to be worn anywhere. The ADG 4 is waterproof, and Nike backs that claim with a 2-year waterproof warranty. Nike Air Jordan ADG 4 Golf Shoes - Black/Cement Grey/Metallic Silver/White Feature: Full-grain leather is soft and supple Nike React technology is a lightweight, durable foam that delivers outstanding cushioning and a smooth, responsive ride Elephant print on the heel counter adds iconic hoops style Rubber sole with integrated traction pattern delivers excellent grip on a variety of surfaces Style Number: DM0103-015 2-Year Waterproof Warranty Authorized Nike Retailer Buy Nike Air Jordan ADG Golf Shoes | Nike Men's Air Jordan Adg 4 Golf Shoes in Black/Cement Grey/Metallic Silver, Size 11.5 Men's / 13 Womens",1933,Apparel & Accessories > Shoe Accessories,https://www.carlsgolfland.com/media/catalog/product/n/i/nike_air_jordan_adg_4_golf_shoes_dm0103_015_hero.jpg,Sports;Sports/Golf;Sports/Golf/Golf Shoes;,185,USD,149.99,149.99,TRUE,,Nike,Nike,4435268,,4435268,Black/Cement Grey/Metallic Silve,,11.5 Mens / 13 Womens,New,https://www.carlsgolfland.com/nike-air-jordan-adg-4-golf-shoes-black-cement-grey-metallic-silver-white?product=177197,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185857.156052.20C5.AF757B2101C0CFF6.4435268
74125,163572.156074.BE8E64811E10C72A.F4DB37DE5A697C9D.7063993,Icebreaker Men's Drayden SS Polo - Large - Praline,,"Features of Icebreaker Men's Drayden SS Polo Cool-Lite - A lightweight and breathable fabric blend designed to wick moisture away from the body Chest pocket Natural Corozo Buttons Fabric Details Fabric Main: 150gm&sup2; Cool-Lite Jersey, 60% TENCEL, 40% Merino Wool Fibre micron: Merino Wool 18.9 micron",5683,Apparel & Accessories > Clothing > Traditional & Ceremonial Clothing > Kimonos > Casual Kimonos,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10558088x1026968_zm?$product1000$,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Casual Tops;,95,,70.99,70.99,TRUE,,,Icebreaker,IB0A56EI347,195440591819,7063993,Praline,male,Large,New,https://www.moosejaw.com/product/icebreaker-men-s-drayden-ss-polo_10558088,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.F4DB37DE5A697C9D.7063993
97346,213318.2.AB88E2261667EF7F.7AC99F5128BA3349.706843997193,FootJoy Coastal Flex Spikeless Golf Shoes 16003564- 8.5 X-Wide,,FootJoy Coastal Flex Spikeless Golf ShoesPlayability with Unmatched VersatilityFeaturesBootie construction for sock-like fit and feelOutsole designed for performance on and off the courseLightweight performance mesh delivers incredible comfort,1043,Sporting Goods > Outdoor Recreation > Golf,https://worldwidegolf.vteximg.com.br/arquivos/ids/10254604_2,Sports;Sports/Golf;Sports/Golf/Golf Shoes;,99.99,USD,59.99,59.99,TRUE,,Footjoy,Footjoy,706843997193,706843997193,706843997193,white,,,new,http://tracking.searchmarketing.com/click.asp?aid=520008760000829495,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.213318.2.AB88E2261667EF7F.7AC99F5128BA3349.706843997193
18301,185820.156074.2CC37263ACDC24EF.3DA65F01210DE5E7.133441539,"Wolverine Men's I-90 Sherpa Lined Jacket Navy Blue, 2X-Large - Men's Work Jackets at Academy Sports",,"The Wolverine Men's I-90 Sherpa Lined Jacket features a waterproof nylon shell, quilted sleeves and a soft sherpa liner. Wolverine Men's I-90 Sherpa Lined Jacket Navy Blue, 2X-Large - Men's Work Jackets at Academy Sports",5598,Apparel & Accessories > Clothing > Outerwear > Coats & Jackets,https://academy.scene7.com/is/image/academy/20821253?wid=800&hei=800,Clothing;Clothing/Jackets & Coats;,94.99,,71.24,71.24,TRUE,,,Wolverine,W1208540-417,195018092182,133441539,Navy Blue,,,New,https://www.academy.com/p/wolverine-mens-i-90-sherpa-lined-jacket?sku=navy-xx-large,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.185820.156074.2CC37263ACDC24EF.3DA65F01210DE5E7.133441539
2549,168622.1.9610.7319855511495D61.SIM-2057-2,Simms Trout Outline T-Shirt - Oil Blue Heather - Medium,The Simms Trout Outline T-Shirt is designed with the trout fisherman in mind. It features a trout outline design printed on the front. Made with 52% cotton/48% polyester material.,The Simms Trout Outline T-Shirt is designed with the trout fisherman in mind. It features a trout outline design printed on the front. Made with 52% cotton/48% polyester material.,212,Apparel & Accessories > Clothing > Shirts & Tops,https://i.tackledirect.com/images/imgfull/simms-trout-outline-t-shirt-oil-blue-heather-m.jpg,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;,29.95,USD,17.97,17.97,TRUE,,Simms,Simms,13519-676-30,694264572429,SIM-2057-2,Blue,male,30,,https://www.tackledirect.com/simms-trout-outline-t-shirt-oil-blue-heather-m.html,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.168622.1.9610.7319855511495D61.SIM-2057-2
38312,161802.156074.AEDE266FF88FCAD6.C803E16309909FAF.195438112101,The North Face Printed Wander T-Shirt,,"Made from lightweight, abrasion-resistant, partially recycled material, this is the perfect top for any adventure. Avg Weight: 210 g (7.4 oz)  Center Back: 24""  141 g/m² 96% recycled polyester, 4% elastane-knit jersey with FlashDry™  Standard fit  Lightweight jersey-knit fabric for breathability  Body fabric has an ultra-soft, natural hand feel  FlashDry™ helps keep you cool and dry  Shaped hem  Offered year round  Ultraviolet Protection Factor (UPF) 50  Heat transfer logo on left chest",2770,Apparel & Accessories > Clothing > Shirts & Tops,https://images.the-house.com/tnf-printed-wander-t-shirt-wmns-emberglow-orange-scattershot-print-22-thumb.jpg,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;,44.95,,20.3,20.3,TRUE,,,The North Face,NF0A5J2C29I,,195438112101,,,,New,https://www.the-house.com/thpwweosxs101zz-the-north-face-performance-shirts,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.161802.156074.AEDE266FF88FCAD6.C803E16309909FAF.195438112101
26990,160704.156074.7F09681D42B6E4A8.10DEEED1CE5ED8B.100075125,Magpul Ar-15 Moe K2-Xl Grips - Ar-15 Moe K2-Xl Grip Fde,,"Don't you hate not being able to find an AR grip that fits those oversized mitts of yours? Magpul's got you covered. The company's K2-XL grip shares many of the same features as Magpul's original MOE-K2 grip design, but it's almost 25 percent bigger than the original. Despite this increased size, the Magpul K2-XL Grip is a drop-in fit for any mil-spec AR-15 lower receiver, giving you the proper grip you need for better control and more accurate shooting.  Designed with an angle that's more vertical than most grips, the Magpul K2-XL Grip is purpose-built to move your hand in closer to your body on rifles with a short length of pull. This give you greater comfort Mfg: Magpul",1806,Mature > Weapons > Gun Care & Accessories > Gun Grips,https://www.brownells.com/userdocs/skus/p_100075125_1.jpg,"Guns, Ammo & Optics;Guns, Ammo & Optics/Gun Accessories;Guns, Ammo & Optics/Gun Accessories/Other Gun Accessories;",22.75,,14.99,14.99,TRUE,,,Magpul,MAG1165-FDE,840815132295,100075125,,,,New,https://www.brownells.com/rifle-parts/grip-parts/pistol-grips/ar-15-moe-k2-xl-grip-fde-sku100075125-139682-255111.aspx,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.160704.156074.7F09681D42B6E4A8.10DEEED1CE5ED8B.100075125
69989,163572.156074.BE8E64811E10C72A.C8C6CD609A2CBE4E.6976022,Carhartt Men's Force Relaxed Fit Midweight SS Pocket T-Shirt - Small Regular - Powder Blue,,"The Carhartt Men's Force Relaxed Fit Midweight SS Pocket T-Shirt is a soft tee for long days on the job. Built to sweat in, Force Technology wicks moisture away and dries quickly, so you're always comfortable. The relaxed Fit with raglan sleeves allows for unrestricted movement, whether you're swinging a tool or stretched out for a nap after a hard day. Features of the Carhartt Men's Force Relaxed Fit Midweight Short Sleeve Pocket T-Shirt Built with force Technology to wick sweat and dry fast Fastdry Technology keeps you cool for all day comfort Stain breaker Technology releases stains Flatlock seams for a smooth feel Raglan sleeves increase range of motion for less restriction Ventilated side panels Droptail hem for added coverage Left-chest pocket with pen stall Tagless neck label for a smooth feel UPF 25+ Fabric Details Solids: 65% Cotton, 35% Polyester stretch plaited jersey knit Heather gray: 59% Cotton, 41% Polyester stretch plaited jersey knit Other heathers: 60% Cotton, 40% Polyester stretch plaited jersey knit",5697,Apparel & Accessories > Clothing > Activewear > Bicycle Activewear,https://s7ondemand1.scene7.com/is/image/MoosejawMB/10553579x1039677_zm?$product1000$,Clothing;Clothing/Shirts & Tops;Clothing/Shirts & Tops/Tees & Tanks;,24.99,,18.99,18.99,TRUE,,,Carhartt,104616-H51,195836113830,6976022,Powder Blue,male,Small Regular,New,https://www.moosejaw.com/product/carhartt-men-s-force-relaxed-fit-midweight-ss-pocket-t-shirt_10553579,https://track.flexlinks.com/p.ashx?foc=101&fopid=1336554.163572.156074.BE8E64811E10C72A.C8C6CD609A2CBE4E.6976022
